iter	Logloss
0	0.6647144572
1	0.6436720364
2	0.6234206673
3	0.6090855862
4	0.5996438381
5	0.5917310774
6	0.5847176537
7	0.5780037701
8	0.5744183638
9	0.5718911162
10	0.5678299613
11	0.565507343
12	0.562384693
13	0.5609594055
14	0.5588168647
15	0.5571557567
16	0.5560663113
17	0.554523233
18	0.5530401008
19	0.5521820337
20	0.5517004576
21	0.5510904866
22	0.5501729509
23	0.5496796721
24	0.5487934708
25	0.5473321677
26	0.5469737322
27	0.546439327
28	0.5459526877
29	0.5456362861
30	0.5454297463
31	0.5446596162
32	0.5442833639
33	0.543874201
34	0.5435082184
35	0.5428220131
36	0.5421615535
37	0.5418074647
38	0.5416311129
39	0.541453137
40	0.5411524027
41	0.5409315331
42	0.5404963855
43	0.540178551
44	0.5397282138
45	0.5394593871
46	0.5392829875
47	0.5391049161
48	0.538905971
49	0.5387356855
50	0.5384814752
51	0.5383509787
52	0.5382521032
53	0.5381361276
54	0.5377035115
55	0.5372829325
56	0.5371834838
57	0.5370981739
58	0.5369391611
59	0.5367240234
60	0.5366401464
61	0.536588798
62	0.5362470805
63	0.5361552267
64	0.5360264019
65	0.5359433848
66	0.5358393983
67	0.5356616613
68	0.5355505578
69	0.5353935034
70	0.5353175078
71	0.5352384074
72	0.5351895906
73	0.5351221929
74	0.5348759118
75	0.5347658591
76	0.5345264084
77	0.5344478335
78	0.5344055606
79	0.5343578902
80	0.5342966066
81	0.5342201811
82	0.5341600915
83	0.5338965669
84	0.5338228163
85	0.5337390826
86	0.5336796618
87	0.5334591743
88	0.5334302281
89	0.5330414612
90	0.5329375225
91	0.5328223589
92	0.5327969474
93	0.5326609578
94	0.5324302006
95	0.5323656211
96	0.5320609222
97	0.5320164999
98	0.5319443733
99	0.5319107461
100	0.5318785996
101	0.531833222
102	0.5317830678
103	0.531717103
104	0.531568551
105	0.5315471519
106	0.5314858204
107	0.5314564921
108	0.5313546074
109	0.531308561
110	0.5312554931
111	0.5311454881
112	0.5311229904
113	0.5310420271
114	0.5309468774
115	0.5308990159
116	0.5308254086
117	0.5307664655
118	0.5306730353
119	0.5306026761
120	0.530531266
121	0.5305129717
122	0.5304947251
123	0.530344358
124	0.5303018463
125	0.5302472498
126	0.5302186858
127	0.5301552526
128	0.5301281694
129	0.5300653572
130	0.530050693
131	0.5299700164
132	0.5299279824
133	0.529851127
134	0.5298161623
135	0.529768062
136	0.529482374
137	0.5294533323
138	0.5294196573
139	0.5293930039
140	0.5293066909
141	0.5292608834
142	0.5291752868
143	0.5291546042
144	0.5290642788
145	0.5290217194
146	0.5289973587
147	0.5289270951
148	0.5288717343
149	0.5287873319
150	0.5287237555
151	0.528528775
152	0.5284895114
153	0.5284026729
154	0.5283691412
155	0.5283379023
156	0.5283143059
157	0.52828001
158	0.528233677
159	0.5281733487
160	0.5281281143
161	0.5279974745
162	0.5279750723
163	0.5279431647
164	0.5278643509
165	0.5278066496
166	0.5276074657
167	0.5275818632
